truck_id,date,gallons_filled,cost_per_gallon,odometer_reading,fuel_station_id
T-0011,2026-03-23,42.6,4.53,204543,FS-6465
T-0045,2026-03-19,30.5,4.57,52219,FS-1342
T-0033,2026-03-18,55.1,4.04,138162,FS-7636
T-0043,2026-03-15,59.7,4.59,252677,FS-1029
T-0044,2026-04-05,54.8,3.47,111889,FS-7047
T-0035,2026-03-21,18.6,3.4,119479,FS-1394
T-0047,2026-04-01,28.5,3.9,106577,FS-1672
T-0047,2026-03-22,61.7,3.83,227501,FS-5203
T-0029,2026-03-17,71.6,3.92,112765,FS-3174
T-0038,2026-03-21,57.9,3.61,257215,FS-8550
T-0006,2026-03-19,42.4,3.33,115905,FS-9519
T-0033,2026-03-21,20.6,4.59,260654,FS-2359
T-0050,2026-04-04,48.3,3.15,118743,FS-2239
T-0002,2026-03-16,35.0,3.69,149632,FS-6482
T-0006,2026-03-22,45.7,4.18,145379,FS-3231
T-0026,2026-03-22,35.2,3.45,156134,FS-5195
T-0021,2026-03-28,14.6,4.4,85978,FS-1394
T-0044,2026-04-01,37.0,4.47,279516,FS-2939
T-0025,2026-03-22,20.7,3.66,87771,FS-5277
T-0028,2026-03-29,74.9,3.78,228728,FS-7707
T-0026,2026-03-28,47.1,4.47,219314,FS-5277
T-0001,2026-03-26,67.6,3.94,36864,FS-7225
T-0037,2026-03-25,19.0,4.35,191260,FS-3380
T-0038,2026-03-21,71.5,4.63,177219,FS-9062
T-0045,2026-03-22,59.5,3.15,152512,FS-3443
T-0030,2026-03-22,51.2,4.16,158375,FS-3014
T-0015,2026-03-29,17.4,4.51,93111,FS-2939
T-0001,2026-03-31,50.7,4.46,80009,FS-2033
T-0019,2026-03-17,53.8,3.94,74357,FS-3813
T-0037,2026-04-03,27.4,4.54,161799,FS-9361
T-0043,2026-03-22,67.2,3.13,217584,FS-9361
T-0003,2026-04-01,45.4,4.28,115651,FS-9234
T-0002,2026-03-17,56.1,4.44,53856,FS-3443
T-0050,2026-04-04,46.5,4.28,83372,FS-1683
T-0050,2026-03-18,28.7,3.46,132601,FS-1394
T-0033,2026-03-16,60.8,4.57,255287,FS-6383
T-0012,2026-03-26,40.3,4.84,149706,FS-4643
T-0003,2026-03-23,64.4,4.78,248088,FS-7018
T-0032,2026-04-04,65.8,4.46,17187,FS-7636
T-0026,2026-03-29,55.2,4.08,66067,FS-9419
T-0039,2026-03-21,71.2,3.5,101064,FS-4857
T-0024,2026-04-03,28.4,4.13,105527,FS-4427
T-0026,2026-03-23,17.4,3.99,263709,FS-4427
T-0049,2026-03-30,30.1,3.6,256464,FS-9385
T-0039,2026-03-26,73.4,4.35,166467,FS-8170
T-0009,2026-03-22,60.4,4.02,84930,FS-9019
T-0015,2026-04-01,37.5,4.01,50813,FS-6318
T-0046,2026-03-30,77.9,4.24,68165,FS-9419
T-0028,2026-03-25,57.5,4.13,32668,FS-9175
T-0036,2026-04-05,71.8,3.41,76011,FS-5648
T-0014,2026-03-25,65.4,4.09,65664,FS-5277
T-0004,2026-03-19,36.9,3.85,52736,FS-5277
T-0033,2026-04-05,49.4,4.11,85918,FS-5648
T-0024,2026-03-18,51.9,3.37,150153,FS-8797
T-0035,2026-03-15,34.1,3.71,208858,FS-2359
T-0007,2026-04-03,12.5,4.47,200133,FS-1849
T-0041,2026-03-23,16.1,4.23,171219,FS-1672
T-0045,2026-03-27,42.2,3.54,286993,FS-4643
T-0007,2026-03-25,27.2,3.37,221845,FS-3195
T-0026,2026-04-03,34.6,3.28,122746,FS-9385
T-0047,2026-03-17,12.8,4.48,55860,FS-7707
T-0036,2026-03-24,38.6,3.97,32162,FS-1342
T-0028,2026-04-05,21.6,4.48,245357,FS-6482
T-0010,2026-03-18,47.1,3.42,265515,FS-8844
T-0035,2026-03-16,30.0,3.74,70262,FS-1240
T-0040,2026-04-04,60.9,4.63,216670,FS-4427
T-0007,2026-03-28,70.6,3.76,95160,FS-6278
T-0021,2026-03-26,35.0,4.7,175989,FS-4733
T-0001,2026-03-17,66.3,4.58,219678,FS-2033
T-0010,2026-03-21,25.6,4.5,188942,FS-7018
T-0049,2026-03-28,78.9,3.55,27126,FS-1683
T-0014,2026-03-31,41.4,3.19,157869,FS-1394
T-0031,2026-04-05,73.2,3.62,258323,FS-8571
T-0046,2026-03-18,20.1,3.83,151632,FS-9175
T-0047,2026-03-21,19.0,4.12,23857,FS-5424
T-0040,2026-04-05,37.9,3.35,174165,FS-5602
T-0013,2026-03-28,15.0,4.49,166755,FS-5277
T-0038,2026-03-23,43.4,3.14,132548,FS-2373
T-0046,2026-04-03,22.1,4.61,230379,FS-4643
T-0045,2026-03-27,50.7,3.14,121444,FS-5195
T-0050,2026-04-02,47.8,4.05,233664,FS-8844
T-0004,2026-03-25,13.5,3.22,157402,FS-4427
T-0043,2026-03-22,75.6,4.31,54512,FS-4139
T-0044,2026-03-16,56.1,4.64,28233,FS-3813
T-0030,2026-03-30,78.0,3.44,24125,FS-2503
T-0030,2026-03-28,71.0,4.67,54492,FS-5608
T-0041,2026-03-26,14.2,4.46,98935,FS-9361
T-0048,2026-03-24,39.1,3.94,294569,FS-1764
T-0049,2026-03-24,45.2,4.56,72713,FS-9519
T-0005,2026-04-01,65.0,3.23,240724,FS-5415
T-0017,2026-03-20,69.1,3.35,218786,FS-1849
T-0008,2026-03-16,23.8,3.89,211939,FS-1330
T-0032,2026-03-15,35.2,3.6,266420,FS-6181
T-0039,2026-03-27,47.3,4.66,256307,FS-9062
T-0041,2026-03-20,45.6,4.48,114374,FS-7441
T-0013,2026-04-03,72.6,4.27,80740,FS-2845
T-0015,2026-04-03,62.7,4.06,151589,FS-8170
T-0027,2026-03-28,24.4,4.54,272988,FS-3174
T-0008,2026-04-03,26.0,3.77,113666,FS-9088
T-0013,2026-03-15,24.3,3.33,176601,FS-4139
T-0031,2026-03-25,25.6,4.01,66805,FS-7047
T-0016,2026-03-22,60.8,4.32,222638,FS-5613
T-0041,2026-03-22,35.6,3.14,202726,FS-9019
T-0034,2026-03-21,65.7,3.45,251031,FS-2845
T-0021,2026-03-27,34.9,4.27,15666,FS-1303
T-0038,2026-03-30,67.3,4.67,76285,FS-2939
T-0032,2026-03-26,58.7,3.78,24443,FS-3014
T-0048,2026-03-20,14.5,3.44,294333,FS-9134
T-0040,2026-03-27,37.7,4.29,46550,FS-2359
T-0033,2026-03-22,58.1,4.84,71378,FS-5195
T-0040,2026-03-16,11.7,4.04,24167,FS-8170
T-0029,2026-03-22,15.8,4.17,178668,FS-2033
T-0019,2026-03-28,71.9,3.83,69942,FS-4427
T-0019,2026-03-23,69.3,3.22,97589,FS-3113
T-0028,2026-03-15,66.3,4.19,77191,FS-3520
T-0037,2026-03-27,23.4,3.66,150158,FS-4297
T-0013,2026-04-01,74.8,4.53,79992,FS-4857
T-0025,2026-03-15,51.6,3.68,196925,FS-8158
T-0022,2026-03-16,16.0,3.37,155721,FS-6383
T-0016,2026-03-24,54.8,4.14,213341,FS-8844
T-0016,2026-03-26,55.8,4.62,24477,FS-4857
T-0036,2026-03-27,75.1,4.45,146143,FS-3813
T-0036,2026-04-02,10.9,4.8,38984,FS-3174
T-0011,2026-04-02,55.0,4.33,20641,FS-8969
T-0033,2026-04-02,53.8,4.08,84498,FS-5613
T-0047,2026-03-30,33.3,3.2,129392,FS-6278
T-0012,2026-03-22,32.6,3.36,200822,FS-3520
T-0037,2026-03-16,45.4,4.65,263845,FS-1892
T-0009,2026-03-18,67.2,4.12,46191,FS-3113
T-0011,2026-03-28,80.0,4.22,242113,FS-6465
T-0023,2026-03-20,16.4,3.56,48748,FS-3016
T-0021,2026-04-01,14.5,4.78,30049,FS-5195
T-0047,2026-03-18,76.0,3.89,256924,FS-7441
T-0042,2026-03-20,66.4,4.46,168322,FS-6278
T-0029,2026-04-04,62.8,4.27,58176,FS-9062
T-0014,2026-03-15,23.4,3.11,194041,FS-9019
T-0038,2026-03-22,40.8,3.77,274971,FS-3845
T-0024,2026-03-20,48.0,3.57,78914,FS-5648
T-0013,2026-03-17,69.3,4.77,55320,FS-7805
T-0050,2026-03-30,48.2,3.3,51845,FS-6017
T-0026,2026-04-04,58.0,3.47,232437,FS-5648
T-0020,2026-03-26,43.9,4.16,50285,FS-8170
T-0038,2026-04-01,22.1,3.63,152751,FS-5203
T-0038,2026-03-18,26.0,3.78,217661,FS-3174
T-0022,2026-04-05,32.7,3.53,274744,FS-9134
T-0045,2026-03-19,66.9,4.47,34375,FS-4427
T-0006,2026-03-18,58.7,4.12,178169,FS-2359
T-0036,2026-03-26,54.1,3.52,116836,FS-6278
T-0025,2026-03-25,53.2,3.38,184594,FS-2239
T-0035,2026-03-18,69.9,4.83,289784,FS-2359
T-0032,2026-04-05,36.8,4.47,216158,FS-6181
T-0044,2026-04-04,17.0,3.75,278094,FS-5613
T-0020,2026-03-15,52.1,4.39,261161,FS-3380
T-0028,2026-03-15,17.3,4.15,122698,FS-2373
T-0013,2026-03-29,21.6,3.32,209374,FS-1582
T-0032,2026-03-18,15.1,4.22,92471,FS-6370
T-0009,2026-03-17,28.1,3.46,227103,FS-1175
T-0006,2026-04-04,73.6,3.88,280578,FS-1582
T-0046,2026-03-18,12.7,4.74,234776,FS-2845
T-0042,2026-03-20,38.1,4.16,235349,FS-6370
T-0012,2026-04-05,63.1,3.15,93570,FS-3657
T-0025,2026-04-04,38.7,4.43,80357,FS-8969
T-0047,2026-04-01,46.0,4.6,202375,FS-6318
T-0030,2026-04-01,58.0,4.34,51756,FS-5608
T-0007,2026-03-27,65.1,4.83,163784,FS-6383
T-0049,2026-03-20,69.4,3.15,291769,FS-8158
T-0045,2026-03-29,29.2,4.47,36688,FS-7441
T-0031,2026-03-24,60.4,3.22,228672,FS-7636
T-0040,2026-04-03,59.2,3.76,81370,FS-3845
T-0022,2026-03-21,54.2,3.8,290419,FS-3813
T-0049,2026-03-24,23.4,4.09,188568,FS-7563
T-0048,2026-03-21,64.5,3.27,261587,FS-7441
T-0038,2026-04-05,46.1,4.13,97850,FS-9457
T-0001,2026-03-20,74.5,3.69,142984,FS-7707
T-0016,2026-03-25,32.8,4.19,254875,FS-7500
T-0008,2026-03-25,39.1,3.53,261664,FS-3443
T-0038,2026-03-31,43.8,3.65,80479,FS-2845
T-0033,2026-03-16,46.7,4.48,229648,FS-4427
T-0043,2026-03-28,45.9,4.57,194606,FS-1240
T-0005,2026-03-26,29.0,4.51,209396,FS-3174
T-0011,2026-03-17,47.6,3.12,255583,FS-2359
T-0034,2026-03-27,76.3,4.78,127300,FS-2033
T-0008,2026-03-30,27.9,4.66,134034,FS-8170
T-0003,2026-04-02,61.6,3.89,202399,FS-7441
T-0034,2026-03-15,47.5,3.84,268222,FS-5424
T-0030,2026-03-15,62.7,3.1,99493,FS-1330
T-0005,2026-04-04,42.4,4.07,215291,FS-9088
T-0014,2026-03-30,38.0,3.54,189514,FS-7027
T-0026,2026-03-24,44.8,4.09,35636,FS-8850
T-0035,2026-03-17,40.2,4.67,249741,FS-4297
T-0015,2026-03-28,76.4,3.46,226609,FS-9062
T-0035,2026-03-18,36.8,4.73,97733,FS-1849
T-0016,2026-03-23,74.7,4.3,52183,FS-6278
T-0016,2026-03-29,12.3,4.75,254278,FS-1683
T-0048,2026-04-01,34.2,3.22,139084,FS-4427
T-0019,2026-03-18,53.0,3.95,230044,FS-2841
T-0013,2026-03-28,46.4,4.1,48270,FS-5424
T-0029,2026-03-23,42.6,3.54,185202,FS-6535
T-0016,2026-03-17,74.4,4.42,201566,FS-8158
T-0036,2026-03-27,68.0,4.48,259695,FS-5203
T-0047,2026-03-29,64.9,3.37,282254,FS-1683
T-0030,2026-03-28,45.8,3.65,93475,FS-1946
T-0006,2026-03-17,52.4,3.65,286038,FS-6017
T-0043,2026-03-29,46.2,3.85,97733,FS-2841
